loan_id,customer_id,loan_amount,loan_type,interest_rate,term,issue_date,status,credit_score_band,exposure_at_default,recovered_amount
1,186,2326374,personal,20.2,60,2020-08-13,active,500-600,2254350.035990264,0.0
2,745,723806,mortgage,7.4,36,2020-01-07,late,300-500,762141.4550590339,0.0
3,807,4203616,auto,12.4,12,2022-01-01,active,600-700,4325462.600124256,0.0
4,885,3449187,mortgage,8.0,36,2022-04-02,active,600-700,3341718.6770449267,0.0
5,300,2767506,auto,10.2,60,2021-06-23,active,500-600,2232774.0494822883,0.0
6,468,760774,personal,8.1,36,2022-09-15,default,700+,797584.0848734292,89250.46846917951
7,896,3367963,business,22.7,120,2022-03-15,active,300-500,3879324.15527243,0.0
8,176,934993,mortgage,19.6,24,2020-07-30,default,300-500,1035804.5330317173,115907.57835927859
9,158,363791,mortgage,16.2,12,2020-07-07,paid,600-700,433873.97298875585,0.0
10,530,3450227,personal,9.5,120,2020-03-15,paid,700+,2952118.1945092767,0.0
11,737,1394525,personal,15.2,24,2022-01-23,active,700+,1239743.9106455927,0.0
12,599,3527778,mortgage,15.4,12,2020-04-23,paid,600-700,3583188.7599703455,0.0
13,1012,126220,mortgage,16.8,60,2021-11-09,active,300-500,112885.1953879341,0.0
14,208,231421,mortgage,6.2,36,2021-09-09,active,700+,188335.01797359597,0.0
15,835,359317,personal,24.5,12,2020-05-30,active,700+,345273.20661056024,0.0
16,377,4992732,auto,14.3,60,2021-03-11,default,300-500,4568638.827536833,511235.3209616172
17,167,3931087,auto,23.5,24,2022-05-27,active,600-700,3559616.3325914564,0.0
18,168,2937971,personal,5.2,12,2020-03-24,active,600-700,3470534.43776222,0.0
19,264,1042469,mortgage,10.0,60,2020-07-30,active,500-600,933407.6096516508,0.0
20,588,3158817,auto,7.1,24,2022-02-17,active,700+,2690595.1224881853,0.0
21,404,1341379,mortgage,20.4,120,2022-04-13,active,300-500,1140343.4483412702,0.0
22,1008,3668997,personal,11.4,36,2022-02-19,active,600-700,4118557.8426628774,0.0
23,773,4551490,mortgage,21.8,60,2021-04-05,active,500-600,4942641.545091085,0.0
24,464,1427191,personal,21.6,120,2022-07-25,active,600-700,1215673.4131750206,0.0
25,953,3357526,personal,18.4,24,2020-06-25,paid,600-700,2981151.5240624724,0.0
26,920,3487983,personal,18.3,12,2022-02-21,active,500-600,3833074.2834479557,0.0
27,478,4441407,mortgage,19.0,36,2020-11-07,active,500-600,4040998.876662976,0.0
28,442,699925,personal,18.5,24,2021-11-24,active,700+,834742.3347818038,0.0
29,1046,2196394,business,12.7,60,2020-06-07,paid,600-700,2232037.1403623056,0.0
30,998,1057146,personal,18.7,36,2021-12-01,active,600-700,926908.9831548573,0.0
31,653,1212532,personal,22.9,120,2020-07-04,active,500-600,1386558.6931868931,0.0
32,453,2691478,mortgage,11.7,36,2021-04-15,active,500-600,2497126.9613281596,0.0
33,515,3003220,personal,23.9,120,2022-08-13,late,600-700,2749516.809950576,0.0
34,208,770330,mortgage,5.3,24,2020-11-04,active,700+,717159.1221458771,0.0
35,662,2942878,personal,12.0,12,2022-09-08,active,500-600,3258586.7125824466,0.0
36,861,2840527,personal,7.6,36,2020-09-02,active,600-700,2469228.024167117,0.0
37,596,832564,personal,7.5,12,2022-04-08,active,300-500,793195.638542867,0.0
38,440,2405406,mortgage,21.3,12,2022-09-02,active,300-500,1953990.9346609032,0.0
39,1041,3481888,personal,23.4,36,2021-01-18,paid,600-700,3936798.919772077,0.0
40,482,2153385,auto,20.6,36,2020-02-11,active,500-600,2016187.4722336042,0.0
41,632,2078884,mortgage,24.5,12,2020-10-11,default,300-500,1869476.284889165,209196.29338498827
42,399,2558600,mortgage,9.3,60,2022-09-06,active,600-700,2640365.939976781,0.0
43,238,4953114,mortgage,7.8,60,2022-09-14,active,500-600,5359253.267718124,0.0
44,458,2213463,mortgage,15.4,36,2022-07-11,active,600-700,2490496.5204604277,0.0
45,935,3714425,business,21.6,12,2020-10-26,active,600-700,3488268.43847415,0.0
46,598,3926247,personal,5.8,12,2022-09-15,default,600-700,4416715.110398094,494234.9028447446
47,484,1995404,personal,24.9,24,2022-06-19,active,500-600,1967373.3630660838,0.0
48,703,2136861,personal,17.0,12,2021-03-11,default,500-600,1795939.5867875828,200967.46224390005
49,1058,3789337,personal,24.6,60,2021-01-03,paid,600-700,4314247.303052705,0.0
50,379,2061723,personal,12.3,24,2022-05-23,active,500-600,2101006.8903460284,0.0
51,736,1058939,mortgage,14.2,60,2021-04-30,paid,700+,1102342.610419357,0.0
52,582,3952518,mortgage,20.0,120,2022-08-06,active,600-700,4644194.8473245185,0.0
53,1008,4699133,business,20.9,36,2021-03-11,active,500-600,4810317.277950823,0.0
54,210,4188465,personal,9.7,120,2022-03-16,default,600-700,3360126.5691284733,376001.5728724627
55,965,406456,personal,23.6,36,2021-03-03,active,700+,466711.6129083028,0.0
56,238,908704,business,22.3,60,2020-06-29,active,300-500,830464.9782776998,0.0
57,1095,3771090,auto,5.4,60,2022-06-01,paid,300-500,3773755.2869197396,0.0
58,534,185037,mortgage,7.6,120,2022-06-16,late,700+,163194.240911263,0.0
